,,,,,,,,,,,,,,
,Carrera de Desarrollo Full Stack,Precio,Porcentaje,Queda a favor,,Carrera Data Scientist (2 cursos),Precio,Porcentaje,Queda a favor,,Carrera Data Analytics,Precio,Porcentaje,Queda a favor
,VALOR DE LA INSCRIPCIÓN,,,"290.039,00",,VALOR DE LA INSCRIPCIÓN,,,"95.259,00",,VALOR DE LA INSCRIPCIÓN,,,
,VALOR ABONADO (si es con TC es el total),,,"290.039,00",,VALOR ABONADO (si es con TC es el total),,,"95.259,00",,VALOR ABONADO (si es con TC es el total),,,
,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,156.922,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,30.202,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Carrera de Diseño Ux Research,Precio,Porcentaje,Queda a favor,,Carrera de Product Design (4 cursos),Precio,Porcentaje,Queda a favor,,Carrera de Marketing en Redes,Precio,Porcentaje,Queda a favor
,Diseño UX/UI,"89.900,00","34,89%",TRUE,,Diseño Ux/Ui,"89.900,00","27,78%",TRUE,,Community Manager & Publicidad,"77.900,00","33,33%",FALSE
,Diseño UX/UI Avanzado,"89.900,00","34,89%",TRUE,,Prototipado (Figma y Adobe XD),"77.900,00","24,07%",FALSE,,Fotografía para RRSS,"77.900,00","33,33%",TRUE
,Ux Research,"77.900,00","30,23%",TRUE,,UI,"77.900,00","24,07%",TRUE,,Copywriting,"77.900,00","33,33%",TRUE
,,,,,,Product Manager,"77.900,00","24,07%",TRUE,,,,,
,Total,"257.700,00","100,00%",,,Total,"323.600,00","100,00%",,,Total,"233.700,00","100,00%",
,,,,,,,,,,,,,,
,VALOR DE LA INSCRIPCIÓN,,,"293.313,00",,VALOR DE LA INSCRIPCIÓN,,,"307.272,00",,VALOR DE LA INSCRIPCIÓN,,,"149.149,00"
,VALOR ABONADO (si es con TC es el total),,,"293.313,00",,VALOR ABONADO (si es con TC es el total),,,"307.272,00",,VALOR ABONADO (si es con TC es el total),,,"149.149,00"
,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,293.313,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,233.303,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,99.433
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Carrera de Producto,Precio,Porcentaje,Queda a favor,,Carrera de Diseño UX/UI,Precio,Porcentaje,Queda a favor,,"Carrera de Data Scientist (nueva, 4 cursos)",Precio,Porcentaje,Queda a favor
,Product Manager,"77.900,00","50,00%",FALSE,,Diseño UX/UI,"89.900,00","26,79%",TRUE,,Data Analytics,"89.900,00","20,89%",TRUE
,E-commerce,"77.900,00","50,00%",FALSE,,Diseño UX/UI Avanzado,"89.900,00","26,79%",TRUE,,Data Science I: Fundamentos para la Ciencia de Datos,"128.800,00","29,93%",TRUE
,,,,,,UX Writing,"77.900,00","23,21%",TRUE,,Data Science II: Machine Learning para la Ciencia de Datos,"151.800,00","35,28%",TRUE
,,,,,,UX Research,"77.900,00","23,21%",TRUE,,Data Science III: NLP & Deep Learning aplicado a Ciencia de Datos,"59.800,00","13,90%",TRUE
,Total,"155.800,00","100,00%",,,Total,"335.600,00","100,00%",,,Total,"430.300,00","100,00%",
,VALOR DE LA INSCRIPCIÓN,,,"145.000,00",,VALOR DE LA INSCRIPCIÓN,,,,,VALOR DE LA INSCRIPCIÓN,,,
,,,,,,,,,,,,,,
,VALOR ABONADO (si es con TC es el total),,,"145.000,00",,VALOR ABONADO (si es con TC es el total),,,,,VALOR ABONADO (si es con TC es el total),,,"395.354,00"
,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,0,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,0,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,395.354
,,,,,,,,,,,,,,
,Carrera de Desarrollo Full Stack,Precio,Porcentaje,Queda a favor,,Carrera de Desarrollo Backend,Precio,Porcentaje,Queda a favor,,Carrera de IA Automation,Precio,Porcentaje,Queda a favor
,React Js,"259.933,00","16,79%",TRUE,,Javascript,"300.067,00","22,30%",TRUE,,AI automation,"204.000,00","54,11%",FALSE
,Javascript,"300.067,00","19,39%",TRUE,,SQL,"317.800,00","23,61%",TRUE,,AI Automation Avanzado,"173.000,00","45,89%",TRUE
,Desarrollo Web,"259.933,00","16,79%",TRUE,,Programación Backend I: Desarrollo Avanzado de Backend,"268.333,00","19,94%",TRUE,,,,,
,Programación Backend I: Desarrollo Avanzado de Backend,"268.333,00","17,33%",TRUE,,Programación Backend II: Diseño y Arquitectura Backend,"229.833,00","17,08%",TRUE,,,,,
